id,match_id,content,bowler,batsman,over,ball,lemmatized,ball_type,shot_type,region
2000000000,128748,"Back of a length, angling into the body of the batter, Jaiswal hops back, gets cramped up for room but manages to tuck it towards fine leg for a single.",Brydon Carse,Yashasvi Jaiswal,9,5,"back of a length , angling into the body of the batter , jaiswal hop back , get cramped up for room but manages to tuck it towards fine leg for a single .",['back of a length'],[],['fine leg']
1980000000,128748,"Hard length and outside off, comes in with the angle slightly, Yashasvi Jaiswal shoulders his arms.",Brydon Carse,Yashasvi Jaiswal,9,4,"hard length and outside off , come in with the angle slightly , yashasvi jaiswal shoulder his arm .",[],[],[]
1950000000,128748,"Nagging length and again well outside off, Yashasvi Jaiswal watches it carefully and decides to leave it again.",Brydon Carse,Yashasvi Jaiswal,9,3,"nagging length and again well outside off , yashasvi jaiswal watch it carefully and decides to leave it again .",[],[],[]
1930000000,128748,"Much fuller and much wider outside off, Jaiswal leaves it alone again.",Brydon Carse,Yashasvi Jaiswal,9,2,"much fuller and much wider outside off , jaiswal leaf it alone again .",['fuller'],[],[]
1890000000,128748,"From around the wicket, full and outside off, gets it to move away after pitching, Jaiswal comes forward but shoulders his arms to let it go.",Brydon Carse,Yashasvi Jaiswal,9,1,"from around the wicket , full and outside off , get it to move away after pitching , jaiswal come forward but shoulder his arm to let it go .",['full'],[],[]
1870000000,128748,"Hard length, around off, Nair stays on the back foot and shows the full face of the bat to block.",Chris Woakes,Karun Nair,8,6,"hard length , around off , nair stay on the back foot and show the full face of the bat to block .",['full'],[],[]
1850000000,128748,"Short-pitched, around off, Nair presses back and defends it.",Chris Woakes,Karun Nair,8,5,"short-pitched , around off , nair press back and defends it .",['short'],[],[]
1790000000,128748,"OUT! DRAGGED ON! Chris Woakes draws first blood for England, and he is pumped up! Bowls it on the back of a length and top of the off stump, gets it to nip back in from slightly wide of the crease as well to create an inward angle. KL Rahul rises with the bounce and looks to drop it down into the pitch, but gets a bit late in his attempt and generates an underedge instead, where the ball goes and crashes into the middle stump. India are 15/1 and Rahul goes after 2(26).<br><b>KL Rahul b C Woakes 2 (26b 0x4 0x6)</b>",Chris Woakes,KL Rahul,8,4,"out ! dragged on ! chris woakes draw first blood for england , and he is pumped up ! bowl it on the back of a length and top of the off stump , get it to nip back in from slightly wide of the crease a well to create an inward angle . kl rahul rise with the bounce and look to drop it down into the pitch , but get a bit late in his attempt and generates an underedge instead , where the ball go and crash into the middle stump . india are 15/1 and rahul go after 2 ( 26 ) . < br > < b > kl rahul b c woakes 2 ( 26b 0x4 0x6 ) < /b >",['back of a length'],[],[]
1770000000,128748,"Back of a length and outside off, Rahul leaves it alone.",Chris Woakes,KL Rahul,8,3,"back of a length and outside off , rahul leaf it alone .",['back of a length'],[],[]
1750000000,128748,"Another loud appeal for LBW, which is turned down by the umpire! Seaming in, on a hard length, around middle, KL Rahul goes back and looks to block but gets an inside edge onto his thigh pad.",Chris Woakes,KL Rahul,8,2,"another loud appeal for lbw , which is turned down by the umpire ! seaming in , on a hard length , around middle , kl rahul go back and look to block but get an inside edge onto his thigh pad .",[],[],[]
1720000000,128748,"Oh, close! A bit fuller and just outside off, nips back in a bit as well, KL Rahul moves across, to cover his off stump and shoulders his arms to let it go. The ball zips past the off stump.",Chris Woakes,KL Rahul,8,1,"oh , close ! a bit fuller and just outside off , nip back in a bit a well , kl rahul move across , to cover his off stump and shoulder his arm to let it go . the ball zip past the off stump .",['fuller'],[],['cover']
1700000000,128748,"Back of a length, from around the wicket, and around off, Yashasvi Jaiswal presses back and looks to defend but plays inside the line as he knows his off stump. Gets beaten on the outside edge.",Brydon Carse,Yashasvi Jaiswal,7,6,"back of a length , from around the wicket , and around off , yashasvi jaiswal press back and look to defend but play inside the line a he know his off stump . get beaten on the outside edge .",['back of a length'],[],[]
1670000000,128748,"Sliding on the pads, flicked away towards mid-wicket for a quick single by Rahul.",Brydon Carse,KL Rahul,7,5,"sliding on the pad , flicked away towards mid-wicket for a quick single by rahul .",[],['flicked'],[]
1650000000,128748,"Well left! Hard length and around off, threatens to shape in but holds its line in the end, KL Rahul looks to defend at first but withdraws his shot in the and lets it go to the keeper.",Brydon Carse,KL Rahul,7,4,"well left ! hard length and around off , threatens to shape in but hold it line in the end , kl rahul look to defend at first but withdraws his shot in the and let it go to the keeper .",[],[],[]
1630000000,128748,"Hard length and around middle, KL Rahul goes back and plays out this towards square leg.",Brydon Carse,KL Rahul,7,3,"hard length and around middle , kl rahul go back and play out this towards square leg .",[],[],[]
1590000000,128748,"Bowls a full toss now and on off, Rahul drives it straight back to the bowler, where Carse stops it with his left hand on his follow-through and falls over on the pitch in that process.",Brydon Carse,KL Rahul,7,2,"bowl a full toss now and on off , rahul drive it straight back to the bowler , where carse stop it with his left hand on his follow-through and fall over on the pitch in that process .","['full toss', 'full']",['drive'],[]
